#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         498    -7.62651    -7.55597  0.00558074
         499    -7.59026    -7.55604  0.00556997
         500    -7.57445    -7.55608  0.00555896
         501     -7.5164      -7.556  0.00554842
         502     -7.5584      -7.556  0.00553737
         503     -7.5317    -7.55596  0.00552658
         504    -7.50703    -7.55586  0.00551646
         505    -7.50033    -7.55575  0.00550663
         506    -7.47606    -7.55559    0.005498
         507    -7.49725    -7.55548  0.00548836
         508    -7.53838    -7.55544  0.00547766
         509    -7.50799    -7.55535  0.00546769
         510    -7.45524    -7.55515   0.0054605
         511    -7.48442    -7.55501  0.00545156
         512    -7.48525    -7.55488  0.00544262
         513    -7.52728    -7.55482  0.00543227
         514     -7.5918     -7.5549  0.00542218
         515    -7.62821    -7.55504  0.00541352
         516    -7.66077    -7.55524  0.00540691
         517    -7.71988    -7.55556  0.00540582
         518    -7.68079     -7.5558  0.00540079
         519    -7.67402    -7.55603  0.00539518
         520    -7.63581    -7.55619  0.00538699
         521    -7.59119    -7.55625  0.00537707
         522    -7.58886    -7.55631  0.00536713
         523    -7.51744    -7.55624  0.00535738
         524    -7.53104    -7.55619  0.00534737
         525    -7.60056    -7.55628  0.00533785
         526    -7.55901    -7.55628  0.00532771
         527    -7.50547    -7.55619  0.00531847
         528    -7.47373    -7.55603  0.00531069
         529    -7.43245     -7.5558  0.00530579
         530    -7.41185    -7.55552  0.00530272
         531    -7.44183    -7.55531  0.00529706
         532    -7.49082    -7.55519  0.00528849
         533    -7.46639    -7.55502  0.00528119
         534    -7.59753     -7.5551   0.0052719
         535    -7.67992    -7.55534  0.00526721
         536    -7.54136    -7.55531  0.00525744
         537     -7.4934    -7.55519  0.00524892
         538    -7.51398    -7.55512  0.00523972
         539    -7.50704    -7.55503  0.00523076
         540    -7.50221    -7.55493  0.00522198
         541    -7.52215    -7.55487  0.00521268
         542    -7.41138     -7.5546  0.00520979
         543    -7.36391    -7.55425  0.00521201
         544     -7.3695    -7.55391  0.00521349
         545     -7.3872    -7.55361  0.00521289
         546    -7.44217     -7.5534  0.00520733
         547     -7.5207    -7.55334  0.00519816
         548    -7.50918    -7.55326   0.0051893
         549    -7.52404    -7.55321  0.00518012
         550    -7.54455    -7.55319  0.00517072
         551    -7.58501    -7.55325  0.00516166
         552     -7.5881    -7.55332   0.0051527
         553    -7.57163    -7.55335  0.00514348
         554    -7.59695    -7.55343   0.0051348
         555    -7.59393     -7.5535  0.00512607
         556    -7.61953    -7.55362  0.00511822
         557    -7.55736    -7.55363  0.00510904
         558    -7.55418    -7.55363  0.00509988
         559    -7.52495    -7.55358  0.00509102
         560    -7.57462    -7.55361  0.00508207
         561    -7.54189    -7.55359  0.00507305
         562    -7.52448    -7.55354  0.00506429
         563    -7.48204    -7.55341  0.00505689
         564    -7.47673    -7.55328  0.00504975
         565    -7.60712    -7.55337  0.00504171
         566    -7.62221    -7.55349  0.00503427
         567    -7.58078    -7.55354  0.00502562
         568    -7.56753    -7.55357  0.00501683
         569    -7.48858    -7.55345  0.00500931
         570    -7.47783    -7.55332  0.00500228
         571    -7.56625    -7.55334  0.00499357
         572    -7.59192    -7.55341   0.0049853
         573    -7.58065    -7.55346  0.00497682
         574    -7.55632    -7.55346  0.00496816
         575    -7.61717    -7.55357  0.00496075
         576    -7.62964    -7.55371   0.0049539
         577    -7.62638    -7.55383  0.00494691
         578    -7.60584    -7.55392  0.00493917
         579    -7.66579    -7.55411  0.00493442
         580    -7.67613    -7.55433  0.00493039
         581    -7.68469    -7.55455  0.00492701
         582    -7.69865     -7.5548  0.00492476
         583    -7.76859    -7.55516  0.00492995
         584    -7.73822    -7.55548  0.00493146
         585    -7.69377    -7.55571   0.0049287
         586    -7.68185    -7.55593  0.00492498
         587    -7.72371    -7.55621  0.00492488
         588    -7.70133    -7.55646  0.00492268
         589    -7.67427    -7.55666  0.00491839
         590    -7.66221    -7.55684   0.0049133
         591     -7.5997    -7.55691  0.00490552
         592    -7.61741    -7.55702   0.0048983
         593     -7.5941    -7.55708  0.00489044
         594     -7.6498    -7.55723   0.0048847
         595    -7.63486    -7.55736  0.00487823
         596    -7.57995     -7.5574  0.00487019
         597    -7.63334    -7.55753   0.0048637
         598    -7.61376    -7.55762  0.00485647
         599    -7.56928    -7.55764   0.0048484
         600    -7.64848    -7.55779  0.00484269
         601    -7.63039    -7.55792  0.00483613
         602    -7.69551    -7.55814   0.0048335
         603      -7.645    -7.55829  0.00482763
         604    -7.63001    -7.55841   0.0048211
         605    -7.62413    -7.55852  0.00481435
         606    -7.60769     -7.5586  0.00480709
         607    -7.59505    -7.55866  0.00479955
         608    -7.60028    -7.55872  0.00479214
         609    -7.58593    -7.55877  0.00478448
         610    -7.61739    -7.55887   0.0047776
         611    -7.63546    -7.55899  0.00477143
         612    -7.62136    -7.55909  0.00476472
         613    -7.61852    -7.55919  0.00475793
         614    -7.49978    -7.55909  0.00475117
         615    -7.63472    -7.55922  0.00474503
         616    -7.58157    -7.55925  0.00473747
         617    -7.60952    -7.55933  0.00473049
         618    -7.64208    -7.55947  0.00472473
         619    -7.61831    -7.55956  0.00471805
         620    -7.60456    -7.55964    0.004711
         621    -7.66733    -7.55981  0.00470661
         622    -7.69647    -7.56003  0.00470417
         623     -7.6825    -7.56023  0.00470072
         624    -7.61287    -7.56031  0.00469394
         625    -7.70687    -7.56054  0.00469229
         626    -7.63232    -7.56066  0.00468619
         627    -7.58285    -7.56069  0.00467885
         628    -7.60975    -7.56077  0.00467205
         629    -7.59836    -7.56083  0.00466501
         630    -7.59549    -7.56089  0.00465793
         631     -7.6917    -7.56109  0.00465516
         632    -7.60188    -7.56116  0.00464824
         633    -7.56345    -7.56116   0.0046409
         634    -7.54287    -7.56113  0.00463367
         635    -7.56899    -7.56115  0.00462639
         636    -7.52179    -7.56108  0.00461953
         637     -7.4857    -7.56097  0.00461379
         638    -7.50209    -7.56087  0.00460748
         639    -7.57326    -7.56089  0.00460031
         640    -7.49708    -7.56079   0.0045942
         641     -7.5486    -7.56077  0.00458708
         642    -7.50139    -7.56068  0.00458086
         643    -7.57202     -7.5607  0.00457377
         644    -7.53545    -7.56066  0.00456684
         645    -7.61788    -7.56075  0.00456062
         646    -7.55517    -7.56074  0.00455357
         647    -7.65232    -7.56088  0.00454873
         648    -7.66908    -7.56105  0.00454477
         649     -7.7032    -7.56127  0.00454305
         650     -7.5647    -7.56127  0.00453606
         651    -7.51362     -7.5612  0.00452968
         652    -7.50334    -7.56111   0.0045236
         653    -7.53834    -7.56108  0.00451681
         654    -7.57607     -7.5611  0.00450996
         655    -7.64076    -7.56122  0.00450472
         656    -7.57146    -7.56124  0.00449788
         657    -7.48165    -7.56111  0.00449266
         658     -7.4378    -7.56093  0.00448974
         659    -7.44594    -7.56075  0.00448632
         660    -7.48687    -7.56064  0.00448092
