#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         572    0.848853     0.78684  0.00998146
         573    0.850639    0.786951  0.00996466
         574    0.852426    0.787065  0.00994795
         575    0.854212    0.787182  0.00993133
         576    0.855994    0.787301  0.00991481
         577     0.85777    0.787423  0.00989838
         578    0.859537    0.787548  0.00988204
         579    0.861294    0.787676  0.00986579
         580    0.863039    0.787805  0.00984964
         581    0.864771    0.787938  0.00983358
         582    0.866487    0.788073  0.00981761
         583    0.868186     0.78821  0.00980173
         584    0.869867     0.78835  0.00978594
         585    0.871526    0.788492  0.00977025
         586    0.873163    0.788637  0.00975464
         587    0.874774    0.788784  0.00973913
         588    0.876361    0.788932  0.00972371
         589    0.877921    0.789084  0.00970837
         590    0.879454    0.789237  0.00969312
         591    0.880959    0.789392  0.00967796
         592    0.882435    0.789549  0.00966289
         593    0.883881    0.789708  0.00964791
         594    0.885296    0.789869  0.00963301
         595    0.886678    0.790032  0.00961819
         596    0.888029    0.790196  0.00960346
         597    0.889346    0.790362  0.00958881
         598    0.890629     0.79053  0.00957424
         599    0.891878    0.790699  0.00955975
         600    0.893091     0.79087  0.00954534
         601     0.89427    0.791042  0.00953101
         602    0.895414    0.791215  0.00951675
         603    0.896523     0.79139  0.00950257
         604    0.897597    0.791566  0.00948847
         605    0.898636    0.791743  0.00947443
         606    0.899639    0.791921  0.00946047
         607    0.900607      0.7921  0.00944658
         608    0.901539     0.79228  0.00943276
         609    0.902438    0.792461    0.009419
         610    0.903302    0.792642  0.00940532
         611    0.904134    0.792825  0.00939169
         612     0.90493    0.793008  0.00937813
         613     0.90569    0.793192  0.00936463
         614    0.906416    0.793376   0.0093512
         615    0.907109    0.793561  0.00933782
         616    0.907766    0.793747   0.0093245
         617    0.908391    0.793932  0.00931124
         618    0.908983    0.794119  0.00929804
         619    0.909541    0.794305  0.00928488
         620    0.910067    0.794492  0.00927179
         621     0.91056    0.794679  0.00925874
         622    0.911021    0.794866  0.00924574
         623    0.911447    0.795053   0.0092328
         624     0.91184     0.79524   0.0092199
         625      0.9122    0.795427  0.00920704
         626    0.912527    0.795614  0.00919424
         627    0.912821    0.795801  0.00918147
         628    0.913082    0.795988  0.00916875
         629    0.913311    0.796174  0.00915607
         630    0.913507    0.796361  0.00914343
         631     0.91367    0.796547  0.00913083
         632      0.9138    0.796732  0.00911827
         633    0.913898    0.796917  0.00910574
         634    0.913962    0.797102  0.00909325
         635    0.913993    0.797286  0.00908079
         636    0.913992    0.797469  0.00906837
         637    0.913957    0.797652  0.00905598
         638    0.913889    0.797834  0.00904362
         639    0.913788    0.798016  0.00903128
         640    0.913654    0.798197  0.00901898
         641    0.913487    0.798376   0.0090067
         642    0.913286    0.798555  0.00899445
         643    0.913053    0.798733  0.00898223
         644    0.912785    0.798911  0.00897002
         645    0.912483    0.799087  0.00895784
         646    0.912145    0.799262  0.00894569
         647    0.911774    0.799436  0.00893355
