# generation:     mean_loss:           best_loss:
688                  75.5752                  75.5752
689                  75.5752                  75.5752
690                  75.5752                  75.5752
691                  75.5752                  75.5752
692                  75.5752                  75.5752
693                  75.5752                  75.5752
694                  75.5752                  75.5752
695                  75.5752                  75.5752
696                  75.5752                  75.5752
697                  75.5752                  75.5752
698                  75.5752                  75.5752
699                  75.5752                  75.5752
700                  75.5752                  75.5752
701                  75.5752                  75.5752
702                  75.5752                  75.5752
703                  75.5752                  75.5752
704                  75.5752                  75.5752
705                  75.5752                  75.5752
706                  75.5752                  75.5752
707                  75.5752                  75.5752
708                  75.5752                  75.5752
709                  75.5752                  75.5752
710                  75.5752                  75.5752
711                  75.5752                  75.5752
712                  75.5752                  75.5752
713                  75.5752                  75.5752
714                  75.5752                  75.5752
715                  75.5752                  75.5752
716                  75.5752                  75.5752
717                  75.5752                  75.5752
718                  75.5752                  75.5752
719                  75.5752                  75.5752
720                  75.5752                  75.5752
721                  75.5752                  75.5752
722                  75.5752                  75.5752
723                  75.5752                  75.5752
724                  75.5752                  75.5752
725                  75.5752                  75.5752
726                  75.5752                  75.5752
727                  75.5752                  75.5752
728                  75.5752                  75.5752
729                  75.5752                  75.5752
730                  75.5752                  75.5752
731                  75.5752                  75.5752
732                  75.5752                  75.5752
733                  75.5752                  75.5752
734                  75.5752                  75.5752
735                  75.5752                  75.5752
736                  75.5752                  75.5752
737                  75.5752                  75.5752
738                  75.5752                  75.5752
739                  75.5752                  75.5752
740                  75.5752                  75.5752
741                  75.5752                  75.5752
742                  75.5752                  75.5752
743                  75.5751                  75.5394
744                  75.5597                  75.4231
745                  75.4913                  75.3526
746                  75.3964                  75.3526
747                  75.3522                  75.1577
748                   75.259                  75.1577
749                  75.1577                  75.1577
750                  75.1577                  75.1577
751                  75.1577                  75.1577
752                  75.1577                  75.1577
753                  75.1577                  75.1577
754                  75.1577                  75.1577
755                  75.1577                  75.1577
756                  75.1577                  75.1577
757                  75.1577                  75.1577
758                  75.1577                  75.1577
759                  75.1577                  75.1577
760                  75.1577                  75.1577
761                  75.1577                  75.1577
762                  75.1577                  75.1577
763                  75.1577                  75.1577
764                  75.1577                  75.1577
765                  75.1577                  75.1577
766                  75.1577                  75.1577
767                  75.1577                  75.1577
768                  75.1577                  75.1577
769                  75.1577                  75.1577
770                  75.1577                  75.1577
771                  75.1577                  75.1577
772                  75.1577                  75.1577
773                  75.1577                  75.1577
774                  75.1577                  75.1577
775                  75.1577                  75.1577
776                  75.1577                  75.1577
777                  75.1577                  75.1577
778                  75.1577                  75.1577
779                  75.1577                  75.1577
780                  75.1577                  75.1577
781                  75.1577                  75.1577
782                  75.1577                  75.1577
783                  75.1577                  75.1577
784                  75.1577                  75.1577
785                  75.1577                  75.1577
786                  75.1577                  75.1577
787                  75.1577                  75.1577
788                  75.1577                  75.1577
789                  75.1577                  75.1577
790                  75.1577                  75.1577
791                  75.1577                  75.1577
792                  75.1577                  75.1577
793                  75.1577                  75.1577
794                  75.1577                  75.1577
795                  75.1577                  75.1577
796                  75.1577                  75.1577
797                  75.1577                  75.1577
798                  75.1577                  75.1577
799                  75.1577                  75.1577
800                  75.1577                  75.1577
801                  75.1577                  75.1577
802                  75.1577                  75.1577
803                  75.1577                  75.1577
804                  75.1577                  75.1577
805                  75.1577                  75.1577
806                  75.1577                  75.1577
807                  75.1577                  75.1577
808                  75.1577                  75.1577
809                  75.1577                  75.1577
810                  75.1577                  75.1577
811                  75.1577                  75.1577
812                  75.1577                  75.1577
813                  75.1577                  75.1577
814                  75.1577                  75.1577
815                  75.1577                  75.1577
816                  75.1577                  75.1577
817                  75.1577                  75.1577
818                  75.1577                  75.1577
819                  75.1577                  75.1577
820                  75.1577                  75.1577
821                  75.1577                  75.1577
